MAGALLANES,56211000,72
MAGARAO,51720000,20
MAGDALENA,43415000,44
MAGDIWANG,175908000,68
MAGPET,124706000,28
MAGSAYSAY,112407000,31
MAGSAYSAY,103511000,45
MAGSAYSAY,175105000,60
MAGSAYSAY,175314000,62
MAGSAYSAY (LINUGOS),104317000,52
MAGSINGAL,12912000,39
MAGUING,153634000,46
MAHAPLAG,83731000,47
MAHATAO,20904000,11
MAHAYAG,97315000,83
MAHINOG,101803000,21
MAIGO,103512000,45
MAIMBUNG,156605000,76
MAINIT,166714000,77
MAITUM,128005000,70
MAJAYJAY,43416000,44
MAKATO,60411000,4
MAKILALA,124707000,28
MALABANG,153615000,46
MALABUYOC,72229000,25
MALALAG,112408000,31
MALANGAS,98308000,84
MALAPATAN,128006000,70
MALASIQUI,15524000,64
MALAY,60412000,4
MALIBCONG,140115000,1
MALILIPOT,50509000,5
MALIMONO,166715000,77
MALINAO,60413000,4
MALINAO,50510000,5
MALITA,118603000,32
MALITBOG,101313000,16
MALITBOG,86409000,74
MALLIG,23119000,41
MALUNGON,128007000,70
MALUSO,150704000,9
MALVAR,41017000,12
MAMASAPANO,153820000,48
MAMBAJAO (Capital),101804000,21
MAMBURAO (Capital),175106000,60
MAMBUSAO,61908000,22
MANABO,140116000,1
MANAOAG,15525000,64
MANAPLA,184518000,55
MANAY,112508000,33
MANDAON,54110000,50
MANDAUECITY,72230000,25
MANGALDAN,15526000,64
MANGATAREM,15527000,64
MANGUDADATU,153832000,48
MANITO,50511000,5
MANJUYOD,184615000,56
MANKAYAN,141111000,13
MANOLOF ORTICH,101314000,16
MANSALAY,175207000,61
MANTICAO,104318000,52
MANUKAN,97207000,82
MAPANAS,84812000,57
MAPANDAN,15528000,64
MAPUN (CAGAYANDETAWI-TAWI),157003000,80
MARABUT,86010000,69
MARAGONDON,42113000,24
MARAGUSAN (SANMARIANO),118205000,27
MARAMAG,101315000,16
MARANTAO,153616000,46
MARAWICITY (Capital),153617000,46
MARCOS,12813000,38
MARGOSATUBIG,97317000,83
MARIA,76104000,71
MARIAAURORA,37707000,8
MARIBOJOC,71232000,15
MARIHATAG,166814000,78
MARILAO,31411000,17
MARIPIPI,87807000,14
MARIVELES,30807000,10
MAROGONG,153631000,46
MASANTOL,35412000,63
MASINLOC,37106000,81
MASIU,153618000,46
MASLOG,82614000,35
MATAASNAKAHOY,41018000,12
MATAG-OB,83733000,47
MATALAM,124708000,28
MATALOM,83734000,47
MATANAO,112410000,31
MATANOG,153809000,48
MATNOG,56212000,72
MATUGUINAO,86011000,69
MATUNGAO,103513000,45
MAUBAN,45627000,65
MAWAB,118206000,27
MAYANTOC,36908000,79
MAYDOLONG,82615000,35
MAYORGA,83735000,47
MAYOYAO,142706000,37
MEDELLIN,72231000,25
MEDINA,104319000,52
MENDEZ (MENDEZ-NU¥EZ),42114000,24
MERCEDES,51607000,19
MERCEDES,82616000,35
MERIDA,83736000,47
MEXICO,35413000,63
MIAGAO,63030000,40
MIDSALIP,97318000,83
MIDSAYAP,124709000,28
MILAGROS,54112000,50
MILAOR,51721000,20
MINA,63031000,40
MINALABAC,51722000,20
MINALIN,35414000,63
MINGLANILLA,72232000,25
M'LANG,124710000,28
MOALBOAL,72233000,25
MOBO,54113000,50
